hospital,city,specialty,rank,year,source,source_title,verification_status
复旦大学附属华山医院,上海市,传染感染,1,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
浙江大学医学院附属第一医院,杭州市,传染感染,2,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
中国医学科学院北京协和医院,北京市,传染感染,3,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
南方医科大学南方医院,广州市,传染感染,4,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
四川大学华西医院,成都市,传染感染,5,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
上海交通大学医学院附属瑞金医院,上海市,传染感染,6,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
华中科技大学同济医学院附属同济医院,武汉市,传染感染,7,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
中国人民解放军总医院,北京市,传染感染,8,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
北京大学第一医院,北京市,传染感染,9,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
中山大学附属第三医院,广州市,传染感染,10,2024,https://zhuanlan.zhihu.com/p/1908822387664855425,复旦版2024中国医院专科声誉排行榜,待核验
