id,name,city,tier,source_url,source_date,specialties,disease_tags,verified,published
pilot-beijing-01,Draft Beijing Hospital 01,Beijing,tertiary,https://draft.test/pilot-beijing-01,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-02,Draft Beijing Hospital 02,Beijing,tertiary,https://draft.test/pilot-beijing-02,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-03,Draft Beijing Hospital 03,Beijing,tertiary,https://draft.test/pilot-beijing-03,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-04,Draft Beijing Hospital 04,Beijing,tertiary,https://draft.test/pilot-beijing-04,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-05,Draft Beijing Hospital 05,Beijing,tertiary,https://draft.test/pilot-beijing-05,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-06,Draft Beijing Hospital 06,Beijing,tertiary,https://draft.test/pilot-beijing-06,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-07,Draft Beijing Hospital 07,Beijing,tertiary,https://draft.test/pilot-beijing-07,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-08,Draft Beijing Hospital 08,Beijing,tertiary,https://draft.test/pilot-beijing-08,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-09,Draft Beijing Hospital 09,Beijing,tertiary,https://draft.test/pilot-beijing-09,2026-08-01,draft-specialty,draft-tag,false,false
pilot-beijing-10,Draft Beijing Hospital 10,Beijing,tertiary,https://draft.test/pilot-beijing-10,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-01,Draft Shanghai Hospital 01,Shanghai,tertiary,https://draft.test/pilot-shanghai-01,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-02,Draft Shanghai Hospital 02,Shanghai,tertiary,https://draft.test/pilot-shanghai-02,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-03,Draft Shanghai Hospital 03,Shanghai,tertiary,https://draft.test/pilot-shanghai-03,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-04,Draft Shanghai Hospital 04,Shanghai,tertiary,https://draft.test/pilot-shanghai-04,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-05,Draft Shanghai Hospital 05,Shanghai,tertiary,https://draft.test/pilot-shanghai-05,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-06,Draft Shanghai Hospital 06,Shanghai,tertiary,https://draft.test/pilot-shanghai-06,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-07,Draft Shanghai Hospital 07,Shanghai,tertiary,https://draft.test/pilot-shanghai-07,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-08,Draft Shanghai Hospital 08,Shanghai,tertiary,https://draft.test/pilot-shanghai-08,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-09,Draft Shanghai Hospital 09,Shanghai,tertiary,https://draft.test/pilot-shanghai-09,2026-08-01,draft-specialty,draft-tag,false,false
pilot-shanghai-10,Draft Shanghai Hospital 10,Shanghai,tertiary,https://draft.test/pilot-shanghai-10,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-01,Draft Guangzhou Hospital 01,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-01,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-02,Draft Guangzhou Hospital 02,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-02,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-03,Draft Guangzhou Hospital 03,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-03,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-04,Draft Guangzhou Hospital 04,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-04,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-05,Draft Guangzhou Hospital 05,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-05,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-06,Draft Guangzhou Hospital 06,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-06,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-07,Draft Guangzhou Hospital 07,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-07,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-08,Draft Guangzhou Hospital 08,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-08,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-09,Draft Guangzhou Hospital 09,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-09,2026-08-01,draft-specialty,draft-tag,false,false
pilot-guangzhou-10,Draft Guangzhou Hospital 10,Guangzhou,tertiary,https://draft.test/pilot-guangzhou-10,2026-08-01,draft-specialty,draft-tag,false,false
